Age,Attrition,Non-Travel,Travel_Frequently,Travel_Rarely,DailyRate,Human Resources,Research & Development,Sales,DistanceFromHome,Education,Technical Degree,Marketing,Medical,Other,Life Sciences,EnvironmentSatisfaction,Male,Female,HourlyRate,JobInvolvement,JobLevel,Research Director,Sales Representative,Manager,Healthcare Representative,Manufacturing Director,Laboratory Technician,Research Scientist,Sales Executive,JobSatisfaction,MaritalStatusDivorced,MaritalStatusMarried,MaritalStatusSingle,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OvertimeNo,OvertimeYes,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
31,1,0,1,0,754,0,0,1,26,4,0,1,0,0,0,1,1,0,63,3,2,0,0,0,0,0,0,0,1,4,0,1,0,5617,21075,1,0,1,11,3,3,80,0,10,4,3,10,7,0,8
32,0,0,1,0,1316,0,1,0,2,2,0,0,0,0,1,4,0,1,38,3,2,0,0,0,0,0,0,1,0,3,0,0,1,4998,2338,4,0,1,14,3,4,80,0,10,2,3,8,7,0,7
26,1,0,0,1,471,0,1,0,24,3,1,0,0,0,0,3,1,0,66,1,1,0,0,0,0,0,1,0,0,4,0,0,1,2340,23213,1,0,1,18,3,2,80,0,1,3,1,1,0,0,0
47,1,0,1,0,719,0,0,1,27,2,0,0,0,0,1,2,0,1,77,4,2,0,0,0,0,0,0,0,1,3,0,0,1,6397,10339,4,0,1,12,3,4,80,0,8,2,3,5,4,1,3
21,0,0,0,1,984,0,1,0,1,1,1,0,0,0,0,4,0,1,70,2,1,0,0,0,0,0,0,1,0,2,0,0,1,2070,25326,1,0,1,11,3,3,80,0,2,6,4,2,2,2,2
31,1,0,0,1,1079,0,0,1,16,4,0,1,0,0,0,1,1,0,70,3,3,0,0,0,0,0,0,0,1,3,0,1,0,8161,19002,2,1,0,13,3,1,80,3,10,2,3,1,0,0,0
29,1,0,0,1,318,0,1,0,8,4,0,0,0,1,0,2,1,0,77,1,1,0,0,0,0,0,1,0,0,1,0,1,0,2119,4759,1,0,1,11,3,4,80,0,7,4,2,7,7,0,7
31,0,0,1,0,163,0,1,0,24,1,1,0,0,0,0,4,0,1,30,3,2,0,0,0,0,1,0,0,0,4,0,0,1,5238,6670,2,1,0,20,4,4,80,0,9,3,2,5,4,1,4
40,1,0,0,1,1329,0,1,0,7,3,0,0,0,0,1,1,1,0,73,3,1,0,0,0,0,0,1,0,0,1,0,0,1,2166,3339,3,0,1,14,3,2,80,0,10,3,1,4,2,0,3
28,0,1,0,0,120,0,0,1,4,3,0,0,1,0,0,2,1,0,43,3,2,0,0,0,0,0,0,0,1,3,0,1,0,4221,8863,1,1,0,15,3,2,80,0,5,3,4,5,4,0,4
45,0,0,0,1,1385,0,1,0,20,2,0,0,1,0,0,3,1,0,79,3,4,0,0,0,1,0,0,0,0,4,0,1,0,13496,7501,0,0,1,14,3,2,80,0,21,2,3,20,7,4,10
20,1,0,0,1,1097,0,1,0,11,3,0,0,1,0,0,4,0,1,98,2,1,0,0,0,0,0,0,1,0,1,0,0,1,2600,18275,1,0,1,15,3,1,80,0,1,2,3,1,0,0,0
36,0,0,0,1,1174,0,0,1,3,4,0,1,0,0,0,1,0,1,99,3,2,0,0,0,0,0,0,0,1,2,0,0,1,9278,20763,3,0,1,16,3,4,80,0,15,3,3,5,4,0,1
29,1,0,1,0,459,0,1,0,24,2,0,0,0,0,1,4,1,0,73,2,1,0,0,0,0,0,0,1,0,4,0,0,1,2439,14753,1,0,1,24,4,2,80,0,1,3,2,1,0,1,0
42,0,0,0,1,319,0,1,0,24,3,0,0,1,0,0,4,1,0,56,3,3,0,0,0,0,1,0,0,0,1,0,1,0,7406,6950,1,0,1,21,4,4,80,1,10,5,2,10,9,5,8
35,0,0,0,1,1276,0,1,0,16,3,0,0,0,0,1,4,1,0,72,3,3,0,0,0,1,0,0,0,0,3,0,1,0,7632,14295,4,0,1,12,3,3,80,0,10,2,3,8,7,0,0
54,0,0,1,0,966,0,1,0,1,4,0,0,0,0,1,4,0,1,53,3,3,0,0,0,0,1,0,0,0,3,1,0,0,10502,9659,7,1,0,17,3,1,80,1,33,2,1,5,4,1,4
42,0,0,0,1,1142,0,1,0,8,3,0,0,0,0,1,4,1,0,81,3,1,0,0,0,0,0,1,0,0,3,0,0,1,3968,13624,4,1,0,13,3,4,80,0,8,3,3,0,0,0,0
56,1,0,0,1,1162,0,1,0,24,2,0,0,0,0,1,1,1,0,97,3,1,0,0,0,0,0,1,0,0,4,0,0,1,2587,10261,1,1,0,16,3,4,80,0,5,3,3,4,2,1,0
31,0,0,0,1,1112,0,0,1,5,4,0,0,0,0,1,1,0,1,67,3,2,0,0,0,0,0,0,0,1,4,0,1,0,5476,22589,1,1,0,11,3,1,80,2,10,2,3,10,0,0,2
44,0,1,0,0,381,0,1,0,24,3,0,0,1,0,0,1,1,0,49,1,1,0,0,0,0,0,1,0,0,3,0,0,1,3708,2104,2,1,0,14,3,3,80,0,9,5,3,5,2,1,4
28,1,0,0,1,103,0,1,0,24,3,0,0,0,0,1,3,1,0,50,2,1,0,0,0,0,0,1,0,0,3,0,0,1,2028,12947,5,0,1,14,3,2,80,0,6,4,3,4,2,0,3
35,0,1,0,0,1212,0,0,1,8,2,0,1,0,0,0,3,0,1,78,2,3,0,0,0,0,0,0,0,1,4,0,1,0,10377,13755,4,0,1,11,3,2,80,1,16,6,2,13,2,4,12
29,1,0,1,0,337,0,1,0,14,1,0,0,0,1,0,3,0,1,84,3,3,0,0,0,1,0,0,0,0,4,0,0,1,7553,22930,0,0,1,12,3,1,80,0,9,1,3,8,7,7,7
56,0,0,0,1,1255,0,1,0,1,2,0,0,0,0,1,1,0,1,90,3,1,0,0,0,0,0,0,1,0,1,0,1,0,2066,10494,2,1,0,22,4,4,80,1,5,3,4,3,2,1,0
42,0,0,1,0,458,0,1,0,26,5,0,0,1,0,0,1,0,1,60,3,3,1,0,0,0,0,0,0,0,1,0,1,0,13191,23281,3,0,1,17,3,3,80,0,20,6,3,1,0,0,0
34,1,0,1,0,988,1,0,0,23,3,0,0,0,0,0,2,0,1,43,3,3,0,0,0,0,0,0,0,0,1,1,0,0,9950,11533,9,0,1,15,3,3,80,3,11,2,3,3,2,0,2
43,0,0,1,0,1001,0,1,0,9,5,0,0,1,0,0,4,1,0,72,3,2,0,0,0,0,0,1,0,0,3,1,0,0,5679,19627,3,0,1,13,3,2,80,1,10,3,3,8,7,4,7
46,0,0,0,1,1450,0,1,0,15,2,0,0,0,0,1,4,1,0,52,3,5,1,0,0,0,0,0,0,0,2,0,1,0,19081,10849,5,1,0,11,3,1,80,1,25,2,3,4,2,0,3
50,0,0,1,0,1421,0,1,0,2,3,0,0,1,0,0,4,0,1,30,3,4,0,0,1,0,0,0,0,0,1,0,1,0,17856,9490,2,1,0,22,4,3,80,1,32,3,3,2,2,2,2
26,1,0,1,0,575,0,1,0,3,1,1,0,0,0,0,3,1,0,73,3,1,0,0,0,0,0,0,1,0,1,0,0,1,3102,6582,0,1,0,22,4,3,80,0,7,2,3,6,4,0,4
33,1,0,0,1,1017,0,1,0,25,3,0,0,1,0,0,1,1,0,55,2,1,0,0,0,0,0,0,1,0,2,0,0,1,2313,2993,4,0,1,20,4,2,80,0,5,0,3,2,2,2,2
24,1,0,0,1,984,0,1,0,17,2,0,0,0,0,1,4,0,1,97,3,1,0,0,0,0,0,1,0,0,2,0,1,0,2210,3372,1,1,0,13,3,1,80,1,1,3,1,1,0,0,0
30,1,0,1,0,334,0,0,1,26,4,0,1,0,0,0,3,0,1,52,2,2,0,0,0,0,0,0,0,1,1,0,0,1,6696,22967,5,1,0,15,3,3,80,0,9,5,2,6,3,0,1
30,0,0,0,1,1176,0,1,0,20,3,0,0,0,1,0,3,1,0,85,3,2,0,0,0,0,1,0,0,0,1,0,1,0,9957,9096,0,1,0,15,3,3,80,1,7,1,2,6,2,0,2
36,1,0,0,1,1456,0,0,1,13,5,0,1,0,0,0,2,1,0,96,2,2,0,0,0,0,0,0,0,1,1,1,0,0,6134,8658,5,0,1,13,3,2,80,3,16,3,3,2,2,2,2
21,1,0,1,0,756,0,0,1,1,1,1,0,0,0,0,1,0,1,99,2,1,0,1,0,0,0,0,0,0,2,0,0,1,2174,9150,1,0,1,11,3,3,80,0,3,3,3,3,2,1,2
41,0,0,0,1,1276,0,0,1,2,5,0,0,0,0,1,2,0,1,91,3,4,0,0,1,0,0,0,0,0,1,0,1,0,16595,5626,7,1,0,16,3,2,80,1,22,2,3,18,16,11,8
45,0,1,0,0,1050,0,0,1,9,4,0,0,0,0,1,2,0,1,65,2,2,0,0,0,0,0,0,0,1,3,0,1,0,5593,17970,1,1,0,13,3,4,80,1,15,2,3,15,10,4,12
32,0,0,0,1,548,0,1,0,1,3,0,0,0,0,1,2,1,0,66,3,2,0,0,0,0,0,0,1,0,2,0,1,0,6220,7346,1,1,0,17,3,2,80,2,10,3,3,10,4,0,9
26,1,0,1,0,887,0,1,0,5,2,0,0,1,0,0,3,0,1,88,2,1,0,0,0,0,0,0,1,0,3,0,1,0,2366,20898,1,0,1,14,3,1,80,1,8,2,3,8,7,1,7
40,0,0,0,1,300,0,0,1,26,3,0,1,0,0,0,3,1,0,74,3,2,0,0,0,0,0,0,0,1,1,0,1,0,8396,22217,1,1,0,14,3,2,80,1,8,3,2,7,7,7,5
31,0,0,0,1,329,0,1,0,1,2,0,0,0,0,1,4,1,0,98,2,1,0,0,0,0,0,1,0,0,1,0,1,0,2218,16193,1,1,0,12,3,3,80,1,4,3,3,4,2,3,2
29,1,0,0,1,896,0,1,0,18,1,0,0,1,0,0,3,1,0,86,2,1,0,0,0,0,0,0,1,0,4,0,0,1,2389,14961,1,0,1,13,3,3,80,0,4,3,2,4,3,0,1
28,0,0,1,0,467,0,0,1,7,3,0,0,0,0,1,3,1,0,55,3,2,0,0,0,0,0,0,0,1,1,0,0,1,4898,11827,0,1,0,14,3,4,80,0,5,5,3,4,2,1,3
27,0,0,0,1,1291,0,0,1,11,3,0,0,1,0,0,3,0,1,98,4,1,0,1,0,0,0,0,0,0,4,0,1,0,2534,6527,8,1,0,14,3,2,80,1,5,4,3,1,0,0,0
39,0,0,0,1,408,0,1,0,2,4,1,0,0,0,0,4,0,1,80,2,2,0,0,0,1,0,0,0,0,3,0,0,1,4553,20978,1,1,0,11,3,1,80,0,20,4,3,20,7,11,10
46,1,0,0,1,1254,0,0,1,10,3,0,0,0,0,1,3,0,1,64,3,3,0,0,0,0,0,0,0,1,2,0,1,0,7314,14011,5,1,0,21,4,3,80,3,14,2,3,8,7,0,7
19,1,0,0,1,528,0,0,1,22,1,0,1,0,0,0,4,1,0,50,3,1,0,1,0,0,0,0,0,0,3,0,0,1,1675,26820,1,0,1,19,3,4,80,0,0,2,2,0,0,0,0
24,1,0,0,1,1448,0,0,1,1,1,1,0,0,0,0,1,0,1,62,3,1,0,1,0,0,0,0,0,0,2,0,0,1,3202,21972,1,0,1,16,3,2,80,0,6,4,3,5,3,1,4
46,0,0,0,1,430,0,1,0,1,4,0,0,1,0,0,4,1,0,40,3,5,1,0,0,0,0,0,0,0,4,1,0,0,19627,21445,9,1,0,17,3,4,80,2,23,0,3,2,2,2,2
27,1,0,1,0,1337,1,0,0,22,3,0,0,0,0,0,1,0,1,58,2,1,0,0,0,0,0,0,0,0,2,0,1,0,2863,19555,1,1,0,12,3,1,80,0,1,2,3,1,0,0,0
31,1,0,0,1,249,0,0,1,6,4,0,0,0,0,1,2,1,0,76,1,2,0,0,0,0,0,0,0,1,3,0,1,0,6172,20739,4,0,1,18,3,2,80,0,12,3,2,7,7,7,7
35,1,0,0,1,763,0,0,1,15,2,0,0,1,0,0,1,1,0,59,1,2,0,0,0,0,0,0,0,1,4,1,0,0,5440,22098,6,0,1,14,3,4,80,2,7,2,2,2,2,2,2
29,1,0,0,1,428,0,0,1,9,3,0,1,0,0,0,2,0,1,52,1,1,0,1,0,0,0,0,0,0,2,0,0,1,2760,14630,1,1,0,13,3,3,80,0,2,3,3,2,2,2,2
24,1,0,0,1,813,0,1,0,1,3,0,0,1,0,0,2,1,0,61,3,1,0,0,0,0,0,0,1,0,4,0,1,0,2293,3020,2,0,1,16,3,1,80,1,6,2,2,2,0,2,0
45,0,0,0,1,556,0,1,0,25,2,0,0,0,0,1,2,0,1,93,2,2,0,0,0,0,1,0,0,0,4,0,1,0,5906,23888,0,1,0,13,3,4,80,2,10,2,2,9,8,3,8
20,1,0,1,0,871,0,1,0,6,3,0,0,0,0,1,4,0,1,66,2,1,0,0,0,0,0,1,0,0,4,0,0,1,2926,19783,1,0,1,18,3,2,80,0,1,5,3,1,0,1,0
26,0,0,0,1,482,0,1,0,1,2,0,0,0,0,1,2,0,1,90,2,1,0,0,0,0,0,0,1,0,3,0,1,0,2933,14908,1,0,1,13,3,3,80,1,1,3,2,1,0,1,0
26,0,0,0,1,390,0,1,0,17,4,0,0,1,0,0,4,1,0,62,1,1,0,0,0,0,0,1,0,0,3,0,1,0,2305,6217,1,1,0,15,3,3,80,3,3,3,4,3,2,0,2
59,0,0,0,1,1089,0,0,1,1,2,1,0,0,0,0,2,1,0,66,3,3,0,0,1,0,0,0,0,0,4,0,1,0,11904,11038,3,0,1,14,3,3,80,1,14,1,1,6,4,0,4
28,0,0,0,1,895,0,1,0,15,2,0,0,0,0,1,1,1,0,50,3,1,0,0,0,0,0,1,0,0,3,1,0,0,2207,22482,1,1,0,16,3,4,80,1,4,5,2,4,2,2,2
31,0,0,1,0,793,0,0,1,20,3,0,0,0,0,1,3,1,0,67,4,1,0,1,0,0,0,0,0,0,4,0,1,0,2791,21981,0,1,0,12,3,1,80,1,3,4,3,2,2,2,2
35,1,0,0,1,303,0,0,1,27,3,0,0,0,0,1,3,1,0,84,3,2,0,0,0,0,0,0,0,1,4,0,0,1,5813,13492,1,0,1,18,3,4,80,0,10,2,3,10,7,7,7
24,0,0,1,0,535,0,0,1,24,3,0,0,1,0,0,4,1,0,38,3,1,0,1,0,0,0,0,0,0,4,0,1,0,2400,5530,0,1,0,13,3,3,80,2,3,3,3,2,2,2,1
53,1,0,0,1,607,0,1,0,2,5,1,0,0,0,0,3,0,1,78,2,3,0,0,0,0,1,0,0,0,4,0,1,0,10169,14618,0,1,0,16,3,2,80,1,34,4,3,33,7,1,9
33,1,0,0,1,211,0,0,1,16,3,0,0,0,0,1,1,0,1,74,3,3,0,0,0,0,0,0,0,1,1,0,0,1,8564,10092,2,0,1,20,4,3,80,0,11,2,2,0,0,0,0
31,0,0,0,1,182,0,1,0,8,5,0,0,0,0,1,1,0,1,93,3,4,1,0,0,0,0,0,0,0,2,0,0,1,16422,8847,3,1,0,11,3,3,80,0,9,3,4,3,2,1,0
43,0,0,0,1,177,0,1,0,8,3,0,0,0,0,1,1,0,1,55,3,2,0,0,0,0,1,0,0,0,2,1,0,0,4765,23814,4,1,0,21,4,3,80,1,4,2,4,1,0,0,0
34,0,0,0,1,401,0,1,0,1,3,0,0,0,0,1,4,0,1,86,2,1,0,0,0,0,0,1,0,0,2,0,1,0,3294,3708,5,1,0,17,3,1,80,1,7,2,2,5,4,0,2
26,1,1,0,0,265,0,0,1,29,2,0,0,1,0,0,2,1,0,79,1,2,0,0,0,0,0,0,0,1,1,0,0,1,4969,21813,8,1,0,18,3,4,80,0,7,6,3,2,2,2,2
30,0,0,0,1,1334,0,0,1,4,2,0,0,1,0,0,3,0,1,63,2,2,0,0,0,0,0,0,0,1,2,1,0,0,5209,19760,1,0,1,12,3,2,80,3,11,4,2,11,8,2,7
35,0,0,0,1,195,0,0,1,1,3,0,0,1,0,0,1,0,1,80,3,2,0,0,0,0,0,0,0,1,3,0,0,1,4859,6698,1,1,0,16,3,4,80,0,5,3,3,5,4,0,3
37,1,0,0,1,370,0,1,0,10,4,0,0,1,0,0,4,1,0,58,3,2,0,0,0,0,1,0,0,0,1,0,0,1,4213,4992,1,1,0,15,3,2,80,0,10,4,1,10,3,0,8
36,0,1,0,0,301,0,0,1,15,4,0,1,0,0,0,4,1,0,88,1,2,0,0,0,0,0,0,0,1,4,1,0,0,5406,10436,1,1,0,24,4,1,80,1,15,4,2,15,12,11,11
55,1,0,0,1,436,0,0,1,2,1,0,0,1,0,0,3,1,0,37,3,2,0,0,0,0,0,0,0,1,4,0,0,1,5160,21519,4,1,0,16,3,3,80,0,12,3,2,9,7,7,3
33,1,0,0,1,1277,0,1,0,15,1,0,0,1,0,0,2,1,0,56,3,3,0,0,1,0,0,0,0,0,3,0,1,0,13610,24619,7,0,1,12,3,4,80,0,15,2,4,7,6,7,7
53,0,0,0,1,1376,0,0,1,2,2,0,0,1,0,0,3,1,0,45,3,4,0,0,1,0,0,0,0,0,3,1,0,0,14852,13938,6,1,0,13,3,3,80,1,22,3,4,17,13,15,2
43,0,0,0,1,1179,0,0,1,2,3,0,0,1,0,0,4,1,0,73,3,2,0,0,0,0,0,0,0,1,4,0,1,0,7847,6069,1,0,1,17,3,1,80,1,10,3,3,10,9,8,8
29,0,0,0,1,352,1,0,0,6,1,0,0,1,0,0,4,1,0,87,2,1,0,0,0,0,0,0,0,0,2,0,1,0,2804,15434,1,1,0,11,3,4,80,0,1,3,3,1,0,0,0
53,0,0,0,1,868,0,0,1,8,3,0,1,0,0,0,1,1,0,73,3,4,0,0,0,0,0,0,0,1,4,0,1,0,11836,22789,5,1,0,14,3,3,80,1,28,3,3,2,0,2,2
29,1,0,0,1,224,0,1,0,1,4,1,0,0,0,0,1,1,0,100,2,1,0,0,0,0,0,0,1,0,1,0,0,1,2362,7568,6,1,0,13,3,3,80,0,11,2,1,9,7,0,7
41,1,0,0,1,1085,0,1,0,2,4,0,0,0,0,1,2,0,1,57,1,1,0,0,0,0,0,1,0,0,4,1,0,0,2778,17725,4,0,1,13,3,3,80,1,10,1,2,7,7,1,0
25,1,0,1,0,599,0,0,1,24,1,0,0,0,0,1,3,1,0,73,1,1,0,1,0,0,0,0,0,0,4,0,0,1,1118,8040,1,0,1,14,3,4,80,0,1,4,3,1,0,1,0
30,0,0,1,0,1312,0,1,0,23,3,0,0,0,0,1,1,1,0,96,1,1,0,0,0,0,0,0,1,0,3,1,0,0,2613,22310,1,1,0,25,4,3,80,3,10,2,2,10,7,0,9
58,0,0,0,1,682,0,0,1,10,4,0,0,1,0,0,4,1,0,37,3,4,0,0,0,0,0,0,0,1,3,0,0,1,13872,24409,0,1,0,13,3,3,80,0,38,1,2,37,10,1,8
21,1,0,0,1,156,0,0,1,12,3,0,0,0,0,1,3,0,1,90,4,1,0,1,0,0,0,0,0,0,2,0,0,1,2716,25422,1,1,0,15,3,4,80,0,1,0,3,1,0,0,0
28,1,0,0,1,1404,0,1,0,17,3,1,0,0,0,0,3,1,0,32,2,1,0,0,0,0,0,1,0,0,4,1,0,0,2367,18779,5,1,0,12,3,1,80,1,6,2,2,4,1,0,3
50,1,0,1,0,562,0,0,1,8,2,1,0,0,0,0,2,1,0,50,3,2,0,0,0,0,0,0,0,1,3,0,1,0,6796,23452,3,0,1,14,3,1,80,1,18,4,3,4,3,1,3
58,1,0,1,0,781,0,1,0,2,1,0,0,0,0,1,4,1,0,57,2,1,0,0,0,0,0,1,0,0,4,1,0,0,2380,13384,9,0,1,14,3,4,80,1,3,3,2,1,0,0,0
28,1,0,1,0,1496,0,0,1,1,3,1,0,0,0,0,1,1,0,92,3,1,0,1,0,0,0,0,0,0,3,0,1,0,2909,15747,3,1,0,15,3,4,80,1,5,3,4,3,2,1,2
35,1,0,0,1,104,0,1,0,2,3,0,0,0,0,1,1,0,1,69,3,1,0,0,0,0,0,1,0,0,1,1,0,0,2074,26619,1,0,1,12,3,4,80,1,1,2,3,1,0,0,0
37,1,0,0,1,807,1,0,0,6,4,0,0,0,0,0,3,1,0,63,3,1,0,0,0,0,0,0,0,0,1,1,0,0,2073,23648,4,0,1,22,4,4,80,0,7,3,3,3,2,0,2
39,0,0,0,1,117,0,1,0,10,1,0,0,1,0,0,3,1,0,99,3,4,0,0,1,0,0,0,0,0,1,0,1,0,17068,5355,1,0,1,14,3,4,80,0,21,3,3,21,9,11,10
39,1,0,1,0,203,0,1,0,2,3,0,0,0,0,1,1,1,0,84,3,4,0,0,0,1,0,0,0,0,4,1,0,0,12169,13547,7,1,0,11,3,4,80,3,21,4,3,18,7,11,5
38,0,0,0,1,201,0,1,0,10,3,0,0,1,0,0,2,0,1,99,1,3,1,0,0,0,0,0,0,0,3,0,1,0,13206,3376,3,1,0,12,3,1,80,1,20,3,3,18,16,1,11
26,1,0,1,0,342,0,1,0,2,3,0,0,0,0,1,1,1,0,57,3,1,0,0,0,0,0,0,1,0,1,0,1,0,2042,15346,6,0,1,14,3,2,80,1,6,2,3,3,2,1,2
34,0,0,0,1,304,0,0,1,2,3,0,0,0,1,0,4,1,0,60,3,2,0,0,0,0,0,0,0,1,4,0,0,1,6274,18686,1,1,0,22,4,3,80,0,6,5,3,6,5,1,4
45,1,0,0,1,1449,0,0,1,2,3,0,1,0,0,0,1,0,1,94,1,5,0,0,1,0,0,0,0,0,2,0,0,1,18824,2493,2,0,1,16,3,1,80,0,26,2,3,24,10,1,11
27,0,1,0,0,1277,0,1,0,8,5,0,0,0,0,1,1,1,0,87,1,1,0,0,0,0,0,1,0,0,3,0,1,0,4621,5869,1,1,0,19,3,4,80,3,3,4,3,3,2,1,2
26,1,0,0,1,1330,0,1,0,21,3,0,0,1,0,0,1,1,0,37,3,1,0,0,0,0,0,1,0,0,3,1,0,0,2377,19373,1,1,0,20,4,3,80,1,1,0,2,1,1,0,0
35,0,0,0,1,1029,0,1,0,16,3,0,0,0,0,1,4,0,1,91,2,3,0,0,0,1,0,0,0,0,2,0,0,1,8606,21195,1,1,0,19,3,4,80,0,11,3,1,11,8,3,3
24,0,0,0,1,823,0,1,0,17,2,0,0,0,1,0,4,1,0,94,2,1,0,0,0,0,0,1,0,0,2,0,1,0,2127,9100,1,1,0,21,4,4,80,1,1,2,3,1,0,0,0
45,0,0,1,0,1199,0,1,0,7,4,0,0,0,0,1,1,1,0,77,4,2,0,0,0,0,1,0,0,0,3,0,1,0,6434,5118,4,1,0,17,3,4,80,1,9,1,3,3,2,0,2
28,0,0,0,1,580,0,1,0,27,3,0,0,1,0,0,2,0,1,39,1,2,0,0,0,0,1,0,0,0,1,1,0,0,4877,20460,0,1,0,21,4,2,80,1,6,5,2,5,3,0,0
32,0,1,0,0,300,0,1,0,1,3,0,0,0,0,1,4,1,0,61,3,1,0,0,0,0,0,1,0,0,4,1,0,0,2314,9148,0,1,0,12,3,2,80,1,4,2,3,3,0,0,2
26,1,0,0,1,920,1,0,0,20,2,0,0,1,0,0,4,0,1,69,3,1,0,0,0,0,0,0,0,0,2,0,1,0,2148,6889,0,0,1,11,3,3,80,0,6,3,3,5,1,1,4
