address,district,price,baths,rooms,sqft,Pisos,Independientes
"Barrio de Salamanca, Madrid",Salamanca,1050000,4,6,259,1,0
"Barrio de Salamanca, Madrid",Salamanca,750000,2,2,101,1,0
"Barrio de Salamanca, Madrid",Salamanca,1750000,3,4,220,1,0
"Barrio de Salamanca, Madrid",Salamanca,899000,2,3,177,1,0
"Barrio de Salamanca, Madrid",Salamanca,2000000,3,4,216,1,0
"Barrio de Salamanca, Madrid",Salamanca,900000,3,3,138,1,0
"Barrio de Salamanca, Madrid",Salamanca,1490000,3,2,133,1,0
"Barrio de Salamanca, Madrid",Salamanca,1680000,3,3,150,1,0
"Barrio de Salamanca, Madrid",Salamanca,1450000,3,3,223,1,0
"Barrio de Salamanca, Madrid",Salamanca,1950000,3,5,236,1,0
"Barrio de Salamanca, Madrid",Salamanca,1380000,2,4,145,1,0
"Barrio de Salamanca, Madrid",Salamanca,2200000,3,4,257,1,0
"Barrio de Salamanca, Madrid",Salamanca,715000,1,2,117,1,0
"Barrio de Salamanca, Madrid",Salamanca,1190000,2,3,135,1,0
"Barrio de Salamanca, Madrid",Salamanca,1700000,4,4,232,1,0
"Barrio de Salamanca, Madrid",Salamanca,1800000,4,3,150,1,0
"Barrio de Salamanca, Madrid",Salamanca,1980000,3,3,236,1,0
"Barrio de Salamanca, Madrid",Salamanca,2450000,4,5,277,1,0
"Barrio de Salamanca, Madrid",Salamanca,2300000,3,4,242,1,0
"Barrio de Salamanca, Madrid",Salamanca,1580000,3,3,182,1,0
"Barrio de Salamanca, Madrid",Salamanca,780000,2,2,74,1,0
"Barrio de Salamanca, Madrid",Salamanca,1150000,3,3,152,1,0
"Barrio de Salamanca, Madrid",Salamanca,1705000,3,3,138,1,0
"Barrio de Salamanca, Madrid",Salamanca,680000,1,2,92,1,0
"Barrio de Salamanca, Madrid",Salamanca,5900000,4,4,277,1,0
"Barrio de Salamanca, Madrid",Salamanca,1250000,3,4,182,1,0
"Barrio de Salamanca, Madrid",Salamanca,3950000,5,4,290,1,0
"Barrio de Salamanca, Madrid",Salamanca,899000,2,3,177,1,0
"Barrio de Salamanca, Madrid",Salamanca,799000,2,2,75,1,0
"Barrio de Salamanca, Madrid",Salamanca,1490000,3,3,144,1,0
"Barrio de Salamanca, Madrid",Salamanca,698000,2,2,108,1,0
"Barrio de Salamanca, Madrid",Salamanca,1170000,2,2,117,1,0
"Barrio de Salamanca, Madrid",Salamanca,780000,2,2,74,1,0
"Barrio de Salamanca, Madrid",Salamanca,895000,2,3,101,1,0
"Barrio de Salamanca, Madrid",Salamanca,1250000,4,5,276,1,0
"Barrio de Salamanca, Madrid",Salamanca,1995000,3,3,174,1,0
"Barrio de Salamanca, Madrid",Salamanca,1320000,2,3,140,1,0
"Barrio de Salamanca, Madrid",Salamanca,3490000,3,5,383,1,0
"Barrio de Salamanca, Madrid",Salamanca,720000,1,2,73,1,0
"Barrio de Salamanca, Madrid",Salamanca,698000,2,2,108,1,0
"Barrio de Salamanca, Madrid",Salamanca,3950000,5,4,291,1,0
"Barrio de Salamanca, Madrid",Salamanca,2500000,4,3,343,1,0
"Barrio de Salamanca, Madrid",Salamanca,1175000,2,2,118,1,0
"Barrio de Salamanca, Madrid",Salamanca,560000,2,2,84,1,0
"Barrio de Salamanca, Madrid",Salamanca,810000,2,3,131,1,0
"Barrio de Salamanca, Madrid",Salamanca,3950000,5,4,291,1,0
"Barrio de Salamanca, Madrid",Salamanca,1100000,2,3,100,1,0
"Barrio de Salamanca, Madrid",Salamanca,1650000,3,3,200,1,0
"Barrio de Salamanca, Madrid",Salamanca,1695000,3,3,181,1,0
"Barrio de Salamanca, Madrid",Salamanca,725000,2,5,200,1,0
"Barrio de Salamanca, Madrid",Salamanca,875000,2,3,101,1,0
"Barrio de Salamanca, Madrid",Salamanca,799000,2,2,75,1,0
"Barrio de Salamanca, Madrid",Salamanca,2680000,3,3,199,1,0
"Barrio de Salamanca, Madrid",Salamanca,2055000,3,2,242,1,0
"Barrio de Salamanca, Madrid",Salamanca,1195000,3,6,213,1,0
"Barrio de Salamanca, Madrid",Salamanca,1550000,3,3,156,1,0
"Barrio de Salamanca, Madrid",Salamanca,1950000,4,5,240,1,0
"Barrio de Salamanca, Madrid",Salamanca,2650000,2,7,272,1,0
"Barrio de Salamanca, Madrid",Salamanca,1320000,2,3,140,1,0
"Barrio de Salamanca, Madrid",Salamanca,3950000,5,4,291,1,0
"Bellas Vistas, Madrid",Tetuán,325000,1,2,76,1,0
"Bernabéu-Hispanoamérica, Madrid",Chamartín,995000,3,3,160,0,1
"Bernabéu-Hispanoamérica, Madrid",Chamartín,1970000,4,4,283,1,0
"Bernabéu-Hispanoamérica, Madrid",Chamartín,1100000,3,3,160,0,1
"Bernabéu-Hispanoamérica, Madrid",Chamartín,3000000,5,4,269,0,1
"Bernabéu-Hispanoamérica, Madrid",Chamartín,1100000,3,5,199,1,0
"Bernabéu-Hispanoamérica, Madrid",Chamartín,790000,3,3,137,1,0
"Bernabéu-Hispanoamérica, Madrid",Chamartín,1450000,4,4,258,1,0
"Bernabéu-Hispanoamérica, Madrid",Chamartín,1160000,3,5,202,1,0
"Berruguete, Madrid",Tetuán,450000,2,3,105,1,0
"Berruguete, Madrid",Tetuán,279000,1,2,70,1,0
"Berruguete, Madrid",Tetuán,339000,2,3,87,1,0
"Berruguete, Madrid",Tetuán,300000,1,1,75,1,0
"Buena Vista, Madrid",Carabanchel,230000,2,3,98,1,0
"Butarque, Madrid",Villaverde,265000,2,2,97,1,0
"Campamento, Madrid",Latina,388000,2,4,144,1,0
"Canillas, Madrid",Hortaleza,420000,2,3,73,1,0
"Canillas, Madrid",Hortaleza,1900000,4,7,370,0,1
"Canillas, Madrid",Hortaleza,210000,1,0,51,1,0
"Canillas, Madrid",Hortaleza,1900000,4,6,372,0,1
"Canillejas, Madrid",San Blas-Canillejas,1950000,7,8,660,0,1
"Casco Histórico de Barajas, Madrid",Barajas,485000,2,3,180,1,0
"Castellana, Madrid",Salamanca,1995000,3,3,170,1,0
"Castellana, Madrid",Salamanca,3900000,5,5,284,1,0
"Castellana, Madrid",Salamanca,7900000,5,4,473,1,0
"Castellana, Madrid",Salamanca,1400000,4,3,125,1,0
"Castellana, Madrid",Salamanca,2990000,3,4,275,1,0
"Castellana, Madrid",Salamanca,485000,1,1,48,1,0
"Castellana, Madrid",Salamanca,4300000,3,10,451,1,0
"Castellana, Madrid",Salamanca,3900000,5,5,284,1,0
"Castellana, Madrid",Salamanca,1670000,3,4,158,1,0
"Castellana, Madrid",Salamanca,1400000,4,3,125,1,0
"Castellana, Madrid",Salamanca,879000,2,2,76,1,0
"Castellana, Madrid",Salamanca,1500000,3,4,173,1,0
"Castellana, Madrid",Salamanca,1320000,2,3,140,1,0
"Castellana, Madrid",Salamanca,2950000,3,4,350,1,0
"Castellana, Madrid",Salamanca,1680000,4,3,214,1,0
"Castellana, Madrid",Salamanca,960000,2,4,150,1,0
"Castellana, Madrid",Salamanca,780000,1,2,74,1,0
"Castellana, Madrid",Salamanca,1680000,3,3,214,1,0
"Castilla, Madrid",Chamartín,442327,2,0,91,1,0
"Castilla, Madrid",Chamartín,999500,3,5,193,1,0
"Castilla, Madrid",Chamartín,1330000,3,5,238,1,0
"Castilla, Madrid",Chamartín,1200000,2,3,243,1,0
"Centro, Madrid",Centro,780000,2,2,117,1,0
"Centro, Madrid",Centro,1950000,4,3,175,1,0
"Centro, Madrid",Centro,750000,2,4,146,1,0
"Centro, Madrid",Centro,529900,1,2,88,1,0
"Centro, Madrid",Centro,695000,2,2,141,1,0
"Centro, Madrid",Centro,2575000,4,4,215,1,0
"Centro, Madrid",Centro,993000,2,4,165,1,0
"Centro, Madrid",Centro,515000,1,2,78,1,0
"Centro, Madrid",Centro,1200000,2,4,174,1,0
"Centro, Madrid",Centro,1200000,2,3,140,1,0
"Centro, Madrid",Centro,2100000,3,3,315,1,0
"Centro, Madrid",Centro,680000,1,2,99,1,0
"Centro, Madrid",Centro,550000,2,2,88,1,0
"Centro, Madrid",Centro,529900,1,2,88,1,0
"Centro, Madrid",Centro,720000,2,2,87,1,0
"Centro, Madrid",Centro,1575000,2,2,189,1,0
"Centro, Madrid",Centro,1550000,2,7,272,1,0
"Centro, Madrid",Centro,790000,1,1,62,1,0
"Centro, Madrid",Centro,3600000,4,5,360,1,0
"Centro, Madrid",Centro,345000,1,1,55,1,0
"Centro, Madrid",Centro,260000,1,1,60,1,0
"Centro, Madrid",Centro,690000,2,3,113,1,0
"Centro, Madrid",Centro,309000,1,1,45,1,0
"Centro, Madrid",Centro,1175000,3,4,171,1,0
"Centro, Madrid",Centro,1575000,2,2,209,1,0
"Centro, Madrid",Centro,859000,3,3,115,1,0
"Centro, Madrid",Centro,598000,1,3,112,1,0
"Centro, Madrid",Centro,520000,3,2,111,1,0
"Centro, Madrid",Centro,1720000,5,4,221,1,0
"Centro, Madrid",Centro,2290000,4,3,184,1,0
"Centro, Madrid",Centro,890000,3,3,118,1,0
"Centro, Madrid",Centro,1385000,2,2,166,1,0
"Centro, Madrid",Centro,1760000,2,3,145,1,0
"Centro, Madrid",Centro,859000,2,3,133,1,0
"Centro, Madrid",Centro,900000,2,4,173,1,0
"Centro, Madrid",Centro,1100000,2,2,160,1,0
"Centro, Madrid",Centro,859000,3,3,133,1,0
"Centro, Madrid",Centro,1690000,2,3,133,1,0
"Centro, Madrid",Centro,495000,1,1,98,1,0
"Centro, Madrid",Centro,2600000,4,3,382,1,0
"Centro, Madrid",Centro,640000,2,2,100,1,0
"Centro, Madrid",Centro,580000,1,4,139,1,0
"Centro, Madrid",Centro,829000,3,3,102,1,0
"Centro, Madrid",Centro,1145000,2,4,224,1,0
"Centro, Madrid",Centro,1175000,3,3,165,1,0
"Centro, Madrid",Centro,859000,2,2,88,1,0
"Centro, Madrid",Centro,500000,2,2,99,1,0
"Chamartín, Madrid",Chamartín,1650000,3,3,248,1,0
"Chamartín, Madrid",Chamartín,950000,3,3,154,1,0
"Chamartín, Madrid",Chamartín,1500000,2,2,168,1,0
"Chamartín, Madrid",Chamartín,2100000,7,6,334,0,1
"Chamartín, Madrid",Chamartín,575000,2,3,105,1,0
"Chamartín, Madrid",Chamartín,3200000,5,7,410,0,1
"Chamartín, Madrid",Chamartín,2300000,5,5,265,1,0
"Chamartín, Madrid",Chamartín,1420000,2,4,185,0,1
"Chamartín, Madrid",Chamartín,1800000,6,5,440,1,0
"Chamartín, Madrid",Chamartín,1850000,3,4,297,1,0
"Chamartín, Madrid",Chamartín,1850000,3,4,297,1,0
"Chamartín, Madrid",Chamartín,1290000,3,5,166,1,0
"Chamartín, Madrid",Chamartín,1375000,3,4,247,1,0
"Chamartín, Madrid",Chamartín,1690000,4,5,252,1,0
"Chamartín, Madrid",Chamartín,2100000,3,5,392,1,0
"Chamartín, Madrid",Chamartín,2200000,3,4,235,1,0
"Chamartín, Madrid",Chamartín,1400000,3,4,173,1,0
"Chamartín, Madrid",Chamartín,1490000,4,5,240,1,0
"Chamartín, Madrid",Chamartín,2750000,5,6,300,0,1
"Chamartín, Madrid",Chamartín,370000,1,3,56,1,0
"Chamartín, Madrid",Chamartín,475000,2,4,100,1,0
"Chamartín, Madrid",Chamartín,1445000,3,3,263,1,0
"Chamartín, Madrid",Chamartín,350000,1,1,79,1,0
"Chamartín, Madrid",Chamartín,1650000,2,2,181,1,0
"Chamartín, Madrid",Chamartín,3700000,5,6,430,0,1
"Chamartín, Madrid",Chamartín,2300000,5,5,256,1,0
"Chamartín, Madrid",Chamartín,1330000,3,5,234,1,0
"Chamartín, Madrid",Chamartín,3200000,4,7,573,0,1
"Chamartín, Madrid",Chamartín,2490000,4,4,593,1,0
"Chamartín, Madrid",Chamartín,2500000,4,7,212,0,1
"Chamartín, Madrid",Chamartín,1820000,3,5,380,1,0
"Chamartín, Madrid",Chamartín,420000,1,1,57,1,0
"Chamartín, Madrid",Chamartín,1445000,3,3,263,1,0
"Chamartín, Madrid",Chamartín,3200000,7,7,573,0,1
"Chamartín, Madrid",Chamartín,1200000,3,4,168,1,0
"Chamartín, Madrid",Chamartín,3000000,4,4,269,0,1
"Chamartín, Madrid",Chamartín,3600000,6,5,376,0,1
"Chamartín, Madrid",Chamartín,1700000,3,3,124,0,1
"Chamartín, Madrid",Chamartín,1750000,3,4,200,1,0
"Chamartín, Madrid",Chamartín,3500000,6,5,325,0,1
"Chamartín, Madrid",Chamartín,4750000,6,5,440,0,1
"Chamartín, Madrid",Chamartín,1420000,3,5,185,0,1
"Chamartín, Madrid",Chamartín,1400000,3,4,174,1,0
"Chamartín, Madrid",Chamartín,1670000,5,4,165,1,0
"Chamartín, Madrid",Chamartín,1650000,2,4,211,1,0
"Chamartín, Madrid",Chamartín,1495000,3,4,264,1,0
"Chamartín, Madrid",Chamartín,730000,2,2,125,1,0
"Chamartín, Madrid",Chamartín,1430000,3,3,164,1,0
"Chamartín, Madrid",Chamartín,630000,3,3,132,1,0
"Chamartín, Madrid",Chamartín,790000,3,3,137,1,0
"Chamartín, Madrid",Chamartín,830000,3,4,155,1,0
"Chamartín, Madrid",Chamartín,1495000,3,3,188,1,0
"Chamartín, Madrid",Chamartín,560000,1,1,88,1,0
"Chamartín, Madrid",Chamartín,3300000,4,6,399,1,0
"Chamberí, Madrid",Chamberí,1075000,3,3,169,1,0
"Chamberí, Madrid",Chamberí,850000,1,4,139,1,0
"Chamberí, Madrid",Chamberí,1900000,4,3,193,1,0
"Chamberí, Madrid",Chamberí,1710000,4,3,206,1,0
"Chamberí, Madrid",Chamberí,1300000,3,4,257,1,0
"Chamberí, Madrid",Chamberí,795000,2,3,138,1,0
"Chamberí, Madrid",Chamberí,799000,3,6,143,1,0
"Chamberí, Madrid",Chamberí,950000,2,4,157,1,0
"Chamberí, Madrid",Chamberí,945000,2,3,159,1,0
"Chamberí, Madrid",Chamberí,850000,2,3,128,1,0
"Chamberí, Madrid",Chamberí,1530000,2,2,133,1,0
"Chamberí, Madrid",Chamberí,945000,2,3,159,1,0
"Chamberí, Madrid",Chamberí,390000,1,0,64,1,0
"Chamberí, Madrid",Chamberí,850000,2,2,115,1,0
"Chamberí, Madrid",Chamberí,380000,2,2,50,1,0
"Chamberí, Madrid",Chamberí,649000,1,2,73,1,0
"Chamberí, Madrid",Chamberí,865000,2,2,104,1,0
"Chamberí, Madrid",Chamberí,700000,1,3,103,1,0
"Chamberí, Madrid",Chamberí,1440000,3,5,277,1,0
"Chamberí, Madrid",Chamberí,3700000,4,5,407,1,0
"Chamberí, Madrid",Chamberí,865000,2,2,127,1,0
"Chamberí, Madrid",Chamberí,1400000,3,2,138,1,0
"Chamberí, Madrid",Chamberí,3100000,4,4,395,1,0
"Chamberí, Madrid",Chamberí,2500000,4,5,314,1,0
"Chamberí, Madrid",Chamberí,990000,1,2,104,1,0
"Chamberí, Madrid",Chamberí,2250000,3,4,256,1,0
"Chamberí, Madrid",Chamberí,720000,2,4,143,1,0
"Chamberí, Madrid",Chamberí,4500000,4,7,524,1,0
"Chamberí, Madrid",Chamberí,4200000,3,5,457,1,0
"Chamberí, Madrid",Chamberí,2600000,4,4,214,1,0
"Chamberí, Madrid",Chamberí,1490000,3,3,142,1,0
"Chamberí, Madrid",Chamberí,2945000,3,3,281,1,0
"Chamberí, Madrid",Chamberí,2395000,5,4,264,1,0
"Chamberí, Madrid",Chamberí,2500000,6,6,307,1,0
"Chopera, Madrid",Arganzuela,310000,1,3,73,1,0
"Chopera, Madrid",Arganzuela,350000,1,2,76,1,0
"Chueca-Justicia, Madrid",Centro,2450000,3,4,261,1,0
"Chueca-Justicia, Madrid",Centro,330000,1,2,60,1,0
"Chueca-Justicia, Madrid",Centro,780000,2,2,57,1,0
"Chueca-Justicia, Madrid",Centro,789000,3,3,107,1,0
"Chueca-Justicia, Madrid",Centro,199000,1,1,14,1,0
"Chueca-Justicia, Madrid",Centro,789000,3,3,100,1,0
"Chueca-Justicia, Madrid",Centro,250000,1,1,40,1,0
"Chueca-Justicia, Madrid",Centro,2290000,3,3,184,1,0
"Chueca-Justicia, Madrid",Centro,1760000,3,3,145,1,0
"Chueca-Justicia, Madrid",Centro,299000,1,1,41,1,0
"Chueca-Justicia, Madrid",Centro,404000,1,1,67,1,0
"Chueca-Justicia, Madrid",Centro,2190000,3,3,209,1,0
"Chueca-Justicia, Madrid",Centro,999000,3,3,104,1,0
"Chueca-Justicia, Madrid",Centro,789000,3,3,107,1,0
"Chueca-Justicia, Madrid",Centro,750000,2,2,127,1,0
"Chueca-Justicia, Madrid",Centro,849000,3,3,111,1,0
"Chueca-Justicia, Madrid",Centro,1499000,4,3,196,1,0
"Chueca-Justicia, Madrid",Centro,695000,2,3,135,1,0
"Chueca-Justicia, Madrid",Centro,1250000,2,2,150,1,0
"Ciudad Jardín, Madrid",Chamartín,1990000,5,4,242,0,1
"Ciudad Jardín, Madrid",Chamartín,2580000,4,3,300,0,1
"Ciudad Jardín, Madrid",Chamartín,345000,1,2,50,1,0
"Ciudad Lineal, Madrid",Ciudad Lineal,1080000,2,4,200,1,0
"Ciudad Lineal, Madrid",Ciudad Lineal,233000,1,1,40,1,0
"Ciudad Lineal, Madrid",Ciudad Lineal,850000,2,3,135,1,0
"Ciudad Lineal, Madrid",Ciudad Lineal,350000,2,4,116,1,0
"Ciudad Lineal, Madrid",Ciudad Lineal,799000,4,5,180,0,1
"Ciudad Lineal, Madrid",Ciudad Lineal,920000,4,5,217,1,0
"Ciudad Lineal, Madrid",Ciudad Lineal,1150000,2,4,244,1,0
"Ciudad Lineal, Madrid",Ciudad Lineal,990000,4,6,293,1,0
"Ciudad Lineal, Madrid",Ciudad Lineal,500000,1,1,78,1,0
"Ciudad Lineal, Madrid",Ciudad Lineal,950000,2,3,150,1,0
"Ciudad Lineal, Madrid",Ciudad Lineal,1400000,4,7,413,1,0
"Ciudad Lineal, Madrid",Ciudad Lineal,1290000,4,5,390,1,0
"Ciudad Lineal, Madrid",Ciudad Lineal,920000,4,5,217,1,0
"Ciudad Lineal, Madrid",Ciudad Lineal,850000,2,3,164,1,0
"Ciudad Lineal, Madrid",Ciudad Lineal,1050000,3,4,191,1,0
"Ciudad Lineal, Madrid",Ciudad Lineal,970000,4,4,287,0,1
"Ciudad Lineal, Madrid",Ciudad Lineal,1348000,4,6,427,1,0
"Ciudad Lineal, Madrid",Ciudad Lineal,730000,3,4,158,1,0
"Ciudad Lineal, Madrid",Ciudad Lineal,1450000,4,5,320,1,0
"Ciudad Lineal, Madrid",Ciudad Lineal,850000,3,5,184,1,0
"Ciudad Lineal, Madrid",Ciudad Lineal,1200000,4,5,375,1,0
"Ciudad Lineal, Madrid",Ciudad Lineal,990000,4,6,293,1,0
"Ciudad Universitaria, Madrid",Moncloa-Aravaca,3550000,9,8,720,0,1
"Ciudad Universitaria, Madrid",Moncloa-Aravaca,870000,2,3,177,0,1
"Ciudad Universitaria, Madrid",Moncloa-Aravaca,1095000,3,4,270,1,0
"Ciudad Universitaria, Madrid",Moncloa-Aravaca,1450000,4,5,258,1,0
"Ciudad Universitaria, Madrid",Moncloa-Aravaca,2100000,5,8,694,0,1
"Ciudad Universitaria, Madrid",Moncloa-Aravaca,369000,1,1,61,1,0
"Ciudad Universitaria, Madrid",Moncloa-Aravaca,1700000,6,6,540,0,1
"Ciudad Universitaria, Madrid",Moncloa-Aravaca,2990000,7,5,728,0,1
"Colina, Madrid",Ciudad Lineal,850000,2,3,131,1,0
"Colina, Madrid",Ciudad Lineal,329900,2,2,80,1,0
"Colina, Madrid",Ciudad Lineal,610000,2,2,120,1,0
"Colina, Madrid",Ciudad Lineal,1450000,4,5,320,1,0
"Colina, Madrid",Ciudad Lineal,329900,2,2,80,1,0
"Comillas, Madrid",Carabanchel,475000,2,3,112,1,0
"Concepción, Madrid",Ciudad Lineal,365900,2,3,105,1,0
"Conde Orgaz-Piovera, Madrid",Hortaleza,1650000,5,5,367,0,1
"Conde Orgaz-Piovera, Madrid",Hortaleza,2800000,5,5,452,0,1
"Conde Orgaz-Piovera, Madrid",Hortaleza,1800000,5,6,276,0,1
"Conde Orgaz-Piovera, Madrid",Hortaleza,525000,2,2,107,1,0
"Conde Orgaz-Piovera, Madrid",Hortaleza,2690000,8,5,450,0,1
"Conde Orgaz-Piovera, Madrid",Hortaleza,3465000,10,12,1380,0,1
"Conde Orgaz-Piovera, Madrid",Hortaleza,3100000,5,4,750,0,1
"Conde Orgaz-Piovera, Madrid",Hortaleza,1690000,6,6,530,0,1
"Conde Orgaz-Piovera, Madrid",Hortaleza,2150000,6,6,575,0,1
"Conde Orgaz-Piovera, Madrid",Hortaleza,1650000,5,5,360,0,1
"Costillares, Madrid",Ciudad Lineal,460000,1,4,126,1,0
"Costillares, Madrid",Ciudad Lineal,595000,2,4,123,1,0
"Costillares, Madrid",Ciudad Lineal,1400000,4,7,413,1,0
"Costillares, Madrid",Ciudad Lineal,299000,1,2,76,1,0
"Cuatro Caminos, Madrid",Tetuán,1590000,4,5,360,1,0
"Cuatro Caminos, Madrid",Tetuán,599000,2,2,107,1,0
"Cuatro Caminos, Madrid",Tetuán,475000,1,2,75,1,0
"Cuatro Caminos, Madrid",Tetuán,320000,1,2,66,1,0
"Cuatro Caminos, Madrid",Tetuán,1300000,3,3,165,1,0
"Cuatro Caminos, Madrid",Tetuán,345000,1,2,42,1,0
"Cuatro Caminos, Madrid",Tetuán,379000,1,1,61,1,0
"Cuatro Caminos, Madrid",Tetuán,860000,3,4,191,1,0
"Cuzco-Castillejos, Madrid",Tetuán,369000,2,2,75,1,0
"Cuzco-Castillejos, Madrid",Tetuán,950000,3,3,120,1,0
"Cuzco-Castillejos, Madrid",Tetuán,1349000,3,3,137,1,0
"Cuzco-Castillejos, Madrid",Tetuán,1499000,3,3,187,1,0
"Cuzco-Castillejos, Madrid",Tetuán,2200000,4,4,279,1,0
"Cuzco-Castillejos, Madrid",Tetuán,1850000,4,5,256,1,0
"Cuzco-Castillejos, Madrid",Tetuán,950000,3,3,127,1,0
"Cuzco-Castillejos, Madrid",Tetuán,1475000,4,5,376,1,0
"Delicias, Madrid",Arganzuela,569000,2,3,104,1,0
"El Cañaveral, Madrid",Vicálvaro,648000,2,4,216,1,0
"El Plantío, Madrid",Moncloa-Aravaca,1700000,7,6,595,0,1
"El Viso, Madrid",Chamartín,675000,2,1,91,1,0
"El Viso, Madrid",Chamartín,2275000,4,5,399,1,0
"El Viso, Madrid",Chamartín,2300000,3,3,237,1,0
"El Viso, Madrid",Chamartín,1129500,2,3,188,1,0
"El Viso, Madrid",Chamartín,3600000,4,5,336,0,1
"El Viso, Madrid",Chamartín,1950000,3,4,283,1,0
"El Viso, Madrid",Chamartín,2500000,5,4,463,1,0
"El Viso, Madrid",Chamartín,1890000,3,4,234,1,0
"El Viso, Madrid",Chamartín,1740000,2,4,172,1,0
"El Viso, Madrid",Chamartín,785000,2,3,120,1,0
"Ensanche de Vallecas - La Gavia, Madrid",Villa de Vallecas,179000,1,1,71,1,0
"Estrella, Madrid",Retiro,629900,2,4,133,1,0
"Estrella, Madrid",Retiro,499900,2,4,126,1,0
"Estrella, Madrid",Retiro,565000,2,3,108,1,0
"Fuencarral, Madrid",Fuencarral-El Pardo,470000,2,3,95,1,0
"Fuencarral, Madrid",Fuencarral-El Pardo,1395000,6,5,368,0,1
"Fuencarral, Madrid",Fuencarral-El Pardo,1435000,6,6,388,0,1
"Fuencarral, Madrid",Fuencarral-El Pardo,2200000,4,4,450,1,0
"Fuencarral, Madrid",Fuencarral-El Pardo,820000,4,5,287,1,0
"Fuencarral, Madrid",Fuencarral-El Pardo,850000,3,4,238,1,0
"Fuencarral, Madrid",Fuencarral-El Pardo,1050000,3,5,265,1,0
"Fuencarral, Madrid",Fuencarral-El Pardo,995000,4,4,240,1,0
"Fuencarral, Madrid",Fuencarral-El Pardo,535000,2,4,150,1,0
